forecast_execution_date_ept,forecast_date,region,total_outages_mw,planned_outages_mw,maintenance_outages_mw,forced_outages_mw
12/25/2016 12:00:00 AM,12/25/2016 12:00:00 AM,Mid Atlantic - Dominion,4435,1405,1242,1788
12/25/2016 12:00:00 AM,12/25/2016 12:00:00 AM,PJM RTO,14036,3581,5442,5013
12/25/2016 12:00:00 AM,12/25/2016 12:00:00 AM,Western,9601,2176,4200,3225
12/25/2016 12:00:00 AM,12/26/2016 12:00:00 AM,Mid Atlantic - Dominion,4354,1405,1165,1784
12/25/2016 12:00:00 AM,12/26/2016 12:00:00 AM,PJM RTO,15471,3581,6914,4976
12/25/2016 12:00:00 AM,12/26/2016 12:00:00 AM,Western,11117,2176,5749,3192
12/25/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Mid Atlantic - Dominion,4533,1405,2275,853
12/25/2016 12:00:00 AM,12/27/2016 12:00:00 AM,PJM RTO,15334,3581,8130,3623
12/25/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Western,10801,2176,5855,2770
12/25/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Mid Atlantic - Dominion,5494,1405,3237,852
12/25/2016 12:00:00 AM,12/28/2016 12:00:00 AM,PJM RTO,14166,3581,8056,2529
12/25/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Western,8672,2176,4819,1677
12/25/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Mid Atlantic - Dominion,5279,1405,3058,816
12/25/2016 12:00:00 AM,12/29/2016 12:00:00 AM,PJM RTO,12014,3253,6268,2493
12/25/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Western,6735,1848,3210,1677
12/25/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Mid Atlantic - Dominion,4349,1405,2162,782
12/25/2016 12:00:00 AM,12/30/2016 12:00:00 AM,PJM RTO,10459,3253,4813,2393
12/25/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Western,6110,1848,2651,1611
12/25/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Mid Atlantic - Dominion,3551,767,2022,762
12/25/2016 12:00:00 AM,12/31/2016 12:00:00 AM,PJM RTO,8122,2325,4766,1031
12/25/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Western,4571,1558,2744,269
12/24/2016 12:00:00 AM,12/24/2016 12:00:00 AM,Mid Atlantic - Dominion,3605,1405,845,1355
12/24/2016 12:00:00 AM,12/24/2016 12:00:00 AM,PJM RTO,13366,3581,5112,4673
12/24/2016 12:00:00 AM,12/24/2016 12:00:00 AM,Western,9761,2176,4267,3318
12/24/2016 12:00:00 AM,12/25/2016 12:00:00 AM,Mid Atlantic - Dominion,4257,1405,1541,1311
12/24/2016 12:00:00 AM,12/25/2016 12:00:00 AM,PJM RTO,13485,3581,6041,3863
12/24/2016 12:00:00 AM,12/25/2016 12:00:00 AM,Western,9228,2176,4500,2552
12/24/2016 12:00:00 AM,12/26/2016 12:00:00 AM,Mid Atlantic - Dominion,3423,1405,1083,935
12/24/2016 12:00:00 AM,12/26/2016 12:00:00 AM,PJM RTO,10756,3581,4555,2620
12/24/2016 12:00:00 AM,12/26/2016 12:00:00 AM,Western,7333,2176,3472,1685
12/24/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Mid Atlantic - Dominion,4451,1405,2193,853
12/24/2016 12:00:00 AM,12/27/2016 12:00:00 AM,PJM RTO,11298,3581,5771,1946
12/24/2016 12:00:00 AM,12/27/2016 12:00:00 AM,Western,6847,2176,3578,1093
12/24/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Mid Atlantic - Dominion,5113,1405,2855,853
12/24/2016 12:00:00 AM,12/28/2016 12:00:00 AM,PJM RTO,10796,3581,5856,1359
12/24/2016 12:00:00 AM,12/28/2016 12:00:00 AM,Western,5683,2176,3001,506
12/24/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Mid Atlantic - Dominion,4875,1405,2653,817
12/24/2016 12:00:00 AM,12/29/2016 12:00:00 AM,PJM RTO,9921,3253,5345,1323
12/24/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Western,5046,1848,2692,506
12/24/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Mid Atlantic - Dominion,4268,1405,2080,783
12/24/2016 12:00:00 AM,12/30/2016 12:00:00 AM,PJM RTO,8539,3253,4063,1223
12/24/2016 12:00:00 AM,12/30/2016 12:00:00 AM,Western,4271,1848,1983,440
12/23/2016 12:00:00 AM,12/23/2016 12:00:00 AM,Mid Atlantic - Dominion,5180,1699,1681,1800
12/23/2016 12:00:00 AM,12/23/2016 12:00:00 AM,PJM RTO,15885,3875,5478,6532
12/23/2016 12:00:00 AM,12/23/2016 12:00:00 AM,Western,10705,2176,3797,4732
12/23/2016 12:00:00 AM,12/24/2016 12:00:00 AM,Mid Atlantic - Dominion,5107,1699,1941,1467
