Day,Location,Type,Hour,IsDuplicateHour,LMP,LossLMP,CongestionLMP
2019-11-15,8445784,Public,8,,51.505984,0.072245,5.963739
2019-11-15,8445784,Public,9,,38.774227,0.165564,2.848663
2019-11-15,8445784,Public,10,,34.506887,0.160557,1.45633
2019-11-15,8445784,Public,11,,33.335556,0.376602,1.518954
2019-11-15,8445784,Public,12,,31.212403,0.273477,1.248926
2019-11-15,8445784,Public,13,,28.90073,0.215877,0.694853
2019-11-15,8445784,Public,14,,28.342499,0.247662,0.434837
2019-11-15,8445784,Public,15,,27.534322,0.10528,0.779042
2019-11-15,8445784,Public,16,,27.515788,0.14787,0.697918
2019-11-15,8445784,Public,17,,30.020232,0.074853,0.675379
2019-11-15,8445784,Public,18,,38.235665,0.222025,1.04364
2019-11-15,8445784,Public,19,,34.412945,0.337089,1.235856
2019-11-15,8445784,Public,20,,32.904021,0.376413,1.347608
2019-11-15,8445784,Public,21,,30.802689,0.376459,1.26623
2019-11-15,8445784,Public,22,,29.852647,0.299493,1.403154
2019-11-15,8445784,Public,23,,27.205233,0.402964,1.022269
2019-11-15,8445784,Public,24,,26.549116,0.46232,0.836796
2019-11-15,8394954,Public,1,,26.89052,-0.147965,0.708485
2019-11-15,8394954,Public,2,,26.650651,-0.088075,0.738726
2019-11-15,8394954,Public,3,,26.691304,-0.052456,0.85376
2019-11-15,8394954,Public,4,,26.65785,-0.086549,0.874399
2019-11-15,8394954,Public,5,,27.333932,-0.077397,0.881329
2019-11-15,8394954,Public,6,,30.161315,-0.131341,1.342656
2019-11-15,8394954,Public,7,,44.300771,-0.174345,2.885116
2019-11-15,8394954,Public,8,,48.771211,-0.055511,3.356722
2019-11-15,8394954,Public,9,,37.534955,-0.103686,1.878641
2019-11-15,8394954,Public,10,,33.992607,-0.111664,1.214271
2019-11-15,8394954,Public,11,,32.625985,-0.165686,1.351671
2019-11-15,8394954,Public,12,,30.054161,-0.173889,0.53805
2019-11-15,8394954,Public,13,,28.059303,-0.182412,0.251715
2019-11-15,8394954,Public,14,,27.429787,-0.168043,-0.06217
2019-11-15,8394954,Public,15,,26.854063,-0.121199,0.325262
2019-11-15,8394954,Public,16,,26.943191,-0.089402,0.362593
2019-11-15,8394954,Public,17,,29.474932,-0.109842,0.314774
2019-11-15,8394954,Public,18,,37.479317,-0.183794,0.693111
2019-11-15,8394954,Public,19,,33.600082,-0.134291,0.894373
2019-11-15,8394954,Public,20,,32.015888,-0.141443,0.977331
2019-11-15,8394954,Public,21,,29.979464,-0.106463,0.925927
2019-11-15,8394954,Public,22,,29.026324,-0.097477,0.973801
2019-11-15,8394954,Public,23,,26.574109,-0.076655,0.870764
2019-11-15,8394954,Public,24,,25.927399,-0.11078,0.788179
2019-11-15,116013753,Public,1,,26.81784,-0.312692,0.800532
2019-11-15,116013753,Public,2,,26.553971,-0.266959,0.82093
2019-11-15,116013753,Public,3,,26.599518,-0.183914,0.893432
2019-11-15,116013753,Public,4,,26.574743,-0.222803,0.927546
2019-11-15,116013753,Public,5,,27.293586,-0.235393,0.998979
2019-11-15,116013753,Public,6,,29.968636,-0.256615,1.275251
2019-11-15,116013753,Public,7,,43.736916,0.041215,2.105701
2019-11-15,116013753,Public,8,,48.195408,0.202604,2.522804
2019-11-15,116013753,Public,9,,37.591046,0.293583,1.537463
2019-11-15,116013753,Public,10,,34.893832,0.478854,1.524978
2019-11-15,116013753,Public,11,,33.409752,0.567006,1.402746
2019-11-15,116013753,Public,12,,31.431458,0.480756,1.260702
2019-11-15,116013753,Public,13,,29.154972,0.503065,0.661907
2019-11-15,116013753,Public,14,,28.509606,0.602383,0.247223
2019-11-15,116013753,Public,15,,27.649486,0.539612,0.459874
2019-11-15,116013753,Public,16,,27.560619,0.498448,0.392171
2019-11-15,116013753,Public,17,,30.030145,0.334467,0.425678
2019-11-15,116013753,Public,18,,38.149595,0.39326,0.786335
2019-11-15,116013753,Public,19,,33.97565,0.37353,0.76212
2019-11-15,116013753,Public,20,,32.347774,0.335344,0.83243
2019-11-15,116013753,Public,21,,30.42197,0.383501,0.878469
2019-11-15,116013753,Public,22,,29.504844,0.326326,1.028518
2019-11-15,116013753,Public,23,,26.975948,0.353787,0.842161
2019-11-15,116013753,Public,24,,26.466138,0.469875,0.746263
2019-11-15,51292,Public,1,,27.748461,0.741116,0.677345
2019-11-15,51292,Public,2,,27.468437,0.746351,0.722086
2019-11-15,51292,Public,3,,27.573317,0.687486,0.995831
2019-11-15,51292,Public,4,,27.568301,0.699572,0.998729
2019-11-15,51292,Public,5,,28.25968,0.826536,0.903144
2019-11-15,51292,Public,6,,31.364382,0.947023,1.467359
2019-11-15,51292,Public,7,,47.135404,1.503576,4.041828
2019-11-15,51292,Public,8,,52.814738,1.600702,5.744036
2019-11-15,51292,Public,9,,38.426907,0.907961,1.758946
2019-11-15,51292,Public,10,,33.997249,0.645234,0.462015
2019-11-15,51292,Public,11,,32.160151,0.348886,0.371265
2019-11-15,51292,Public,12,,29.370957,0.333488,-0.652531
