evaluated_at_datetime_utc,evaluated_at_datetime_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 7:00:00 PM,11/16/2019 2:00:00 PM,11/16/2019 8:00:00 PM,11/16/2019 3:00:00 PM,MID_ATLANTIC_REGION,30858
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 8:00:00 PM,11/16/2019 3:00:00 PM,11/16/2019 9:00:00 PM,11/16/2019 4:00:00 PM,MID_ATLANTIC_REGION,31167
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 9:00:00 PM,11/16/2019 4:00:00 PM,11/16/2019 10:00:00 PM,11/16/2019 5:00:00 PM,MID_ATLANTIC_REGION,32352
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 10:00:00 PM,11/16/2019 5:00:00 PM,11/16/2019 11:00:00 PM,11/16/2019 6:00:00 PM,MID_ATLANTIC_REGION,34195
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/16/2019 11:00:00 PM,11/16/2019 6:00:00 PM,11/17/2019 12:00:00 AM,11/16/2019 7:00:00 PM,MID_ATLANTIC_REGION,34764
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 12:00:00 AM,11/16/2019 7:00:00 PM,11/17/2019 1:00:00 AM,11/16/2019 8:00:00 PM,MID_ATLANTIC_REGION,34508
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 1:00:00 AM,11/16/2019 8:00:00 PM,11/17/2019 2:00:00 AM,11/16/2019 9:00:00 PM,MID_ATLANTIC_REGION,33766
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 2:00:00 AM,11/16/2019 9:00:00 PM,11/17/2019 3:00:00 AM,11/16/2019 10:00:00 PM,MID_ATLANTIC_REGION,32855
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 3:00:00 AM,11/16/2019 10:00:00 PM,11/17/2019 4:00:00 AM,11/16/2019 11:00:00 PM,MID_ATLANTIC_REGION,31574
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 4:00:00 AM,11/16/2019 11:00:00 PM,11/17/2019 5:00:00 AM,11/17/2019 12:00:00 AM,MID_ATLANTIC_REGION,30318
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 5:00:00 AM,11/17/2019 12:00:00 AM,11/17/2019 6:00:00 AM,11/17/2019 1:00:00 AM,MID_ATLANTIC_REGION,28486
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 6:00:00 AM,11/17/2019 1:00:00 AM,11/17/2019 7:00:00 AM,11/17/2019 2:00:00 AM,MID_ATLANTIC_REGION,27773
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 7:00:00 AM,11/17/2019 2:00:00 AM,11/17/2019 8:00:00 AM,11/17/2019 3:00:00 AM,MID_ATLANTIC_REGION,27301
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 8:00:00 AM,11/17/2019 3:00:00 AM,11/17/2019 9:00:00 AM,11/17/2019 4:00:00 AM,MID_ATLANTIC_REGION,27181
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 9:00:00 AM,11/17/2019 4:00:00 AM,11/17/2019 10:00:00 AM,11/17/2019 5:00:00 AM,MID_ATLANTIC_REGION,27329
11/15/2019 4:17:48 PM,11/15/2019 11:17:48 AM,11/17/2019 10:00:00 AM,11/17/2019 5:00:00 AM,11/17/2019 11:00:00 AM,11/17/2019 6:00:00 AM,MID_ATLANTIC_REGION,27874
