Entity Type,site
Entity Id,3563490
field,GHIh_t_sum
timestamp,"Maret School - Expected Insolation Global Horizontal - TMY3, sum, (Wh/m&#178;)"
04/22/2018 00:00:00,5273.667
04/23/2018 00:00:00,5273.667
04/24/2018 00:00:00,5273.667
04/25/2018 00:00:00,5273.667
04/26/2018 00:00:00,5273.667
04/27/2018 00:00:00,5273.667
04/28/2018 00:00:00,5273.667
04/29/2018 00:00:00,5273.667
04/30/2018 00:00:00,5273.667
05/01/2018 00:00:00,4994.194
05/02/2018 00:00:00,4994.194
05/03/2018 00:00:00,4994.194
05/04/2018 00:00:00,4994.194
05/05/2018 00:00:00,4994.194
05/06/2018 00:00:00,4994.194
05/07/2018 00:00:00,4994.194
05/08/2018 00:00:00,4994.194
05/09/2018 00:00:00,4994.194
05/10/2018 00:00:00,4994.194
05/11/2018 00:00:00,4994.194
05/12/2018 00:00:00,4994.194
05/13/2018 00:00:00,4994.194
05/14/2018 00:00:00,4994.194
05/15/2018 00:00:00,4994.194
05/16/2018 00:00:00,4994.194
05/17/2018 00:00:00,4994.194
05/18/2018 00:00:00,4994.194
05/19/2018 00:00:00,4994.194
05/20/2018 00:00:00,4994.194
05/21/2018 00:00:00,4994.194
05/22/2018 00:00:00,4994.194
05/23/2018 00:00:00,4994.194
05/24/2018 00:00:00,4994.194
05/25/2018 00:00:00,4994.194
05/26/2018 00:00:00,4994.194
05/27/2018 00:00:00,4994.194
05/28/2018 00:00:00,4994.194
05/29/2018 00:00:00,4994.194
05/30/2018 00:00:00,4994.194
05/31/2018 00:00:00,4994.194
06/01/2018 00:00:00,6116.4
06/02/2018 00:00:00,6116.4
06/03/2018 00:00:00,6116.4
06/04/2018 00:00:00,6116.4
06/05/2018 00:00:00,6116.4
06/06/2018 00:00:00,6116.4
06/07/2018 00:00:00,6116.4
06/08/2018 00:00:00,6116.4
06/09/2018 00:00:00,6116.4
06/10/2018 00:00:00,6116.4
06/11/2018 00:00:00,6116.4
06/12/2018 00:00:00,6116.4
06/13/2018 00:00:00,6116.4
06/14/2018 00:00:00,6116.4
06/15/2018 00:00:00,6116.4
06/16/2018 00:00:00,6116.4
06/17/2018 00:00:00,6116.4
06/18/2018 00:00:00,6116.4
06/19/2018 00:00:00,6116.4
06/20/2018 00:00:00,6116.4
06/21/2018 00:00:00,6116.4
06/22/2018 00:00:00,6116.4
06/23/2018 00:00:00,6116.4
06/24/2018 00:00:00,6116.4
06/25/2018 00:00:00,6116.4
06/26/2018 00:00:00,6116.4
06/27/2018 00:00:00,6116.4
06/28/2018 00:00:00,6116.4
06/29/2018 00:00:00,6116.4
06/30/2018 00:00:00,6116.4
07/01/2018 00:00:00,5878.839
07/02/2018 00:00:00,5878.839
07/03/2018 00:00:00,5878.839
07/04/2018 00:00:00,5878.839
07/05/2018 00:00:00,5878.839
07/06/2018 00:00:00,5878.839
07/07/2018 00:00:00,5878.839
07/08/2018 00:00:00,5878.839
07/09/2018 00:00:00,5878.839
07/10/2018 00:00:00,5878.839
07/11/2018 00:00:00,5878.839
07/12/2018 00:00:00,5878.839
07/13/2018 00:00:00,5878.839
07/14/2018 00:00:00,5878.839
07/15/2018 00:00:00,5878.839
07/16/2018 00:00:00,5878.839
07/17/2018 00:00:00,5878.839
07/18/2018 00:00:00,5878.839
07/19/2018 00:00:00,5878.839
07/20/2018 00:00:00,5878.839
07/21/2018 00:00:00,5878.839
07/22/2018 00:00:00,5878.839
07/23/2018 00:00:00,5878.839
07/24/2018 00:00:00,5878.839
07/25/2018 00:00:00,5878.839
07/26/2018 00:00:00,5878.839
07/27/2018 00:00:00,5878.839
07/28/2018 00:00:00,5878.839
07/29/2018 00:00:00,5878.839
07/30/2018 00:00:00,5878.839
07/31/2018 00:00:00,5878.839
08/01/2018 00:00:00,5386.903
08/02/2018 00:00:00,5386.903
08/03/2018 00:00:00,5386.903
08/04/2018 00:00:00,5386.903
08/05/2018 00:00:00,5386.903
08/06/2018 00:00:00,5386.903
08/07/2018 00:00:00,5386.903
08/08/2018 00:00:00,5386.903
08/09/2018 00:00:00,5386.903
08/10/2018 00:00:00,5386.903
08/11/2018 00:00:00,5386.903
08/12/2018 00:00:00,5386.903
08/13/2018 00:00:00,5386.903
08/14/2018 00:00:00,5386.903
08/15/2018 00:00:00,5386.903
08/16/2018 00:00:00,5386.903
08/17/2018 00:00:00,5386.903
08/18/2018 00:00:00,5386.903
08/19/2018 00:00:00,5386.903
08/20/2018 00:00:00,5386.903
08/21/2018 00:00:00,5386.903
08/22/2018 00:00:00,5386.903
08/23/2018 00:00:00,5386.903
08/24/2018 00:00:00,5386.903
08/25/2018 00:00:00,5386.903
08/26/2018 00:00:00,5386.903
08/27/2018 00:00:00,5386.903
08/28/2018 00:00:00,5386.903
08/29/2018 00:00:00,5386.903
08/30/2018 00:00:00,5386.903
08/31/2018 00:00:00,5386.903
09/01/2018 00:00:00,4287.867
09/02/2018 00:00:00,4287.867
09/03/2018 00:00:00,4287.867
09/04/2018 00:00:00,4287.867
09/05/2018 00:00:00,4287.867
09/06/2018 00:00:00,4287.867
09/07/2018 00:00:00,4287.867
09/08/2018 00:00:00,4287.867
09/09/2018 00:00:00,4287.867
09/10/2018 00:00:00,4287.867
09/11/2018 00:00:00,4287.867
09/12/2018 00:00:00,4287.867
09/13/2018 00:00:00,4287.867
09/14/2018 00:00:00,4287.867
09/15/2018 00:00:00,4287.867
09/16/2018 00:00:00,4287.867
09/17/2018 00:00:00,4287.867
09/18/2018 00:00:00,4287.867
09/19/2018 00:00:00,4287.867
09/20/2018 00:00:00,4287.867
09/21/2018 00:00:00,4287.867
09/22/2018 00:00:00,4287.867
09/23/2018 00:00:00,4287.867
09/24/2018 00:00:00,4287.867
09/25/2018 00:00:00,4287.867
09/26/2018 00:00:00,4287.867
09/27/2018 00:00:00,4287.867
09/28/2018 00:00:00,4287.867
09/29/2018 00:00:00,4287.867
09/30/2018 00:00:00,4287.867
10/01/2018 00:00:00,3650.419
10/02/2018 00:00:00,3650.419
10/03/2018 00:00:00,3650.419
10/04/2018 00:00:00,3650.419
10/05/2018 00:00:00,3650.419
10/06/2018 00:00:00,3650.419
10/07/2018 00:00:00,3650.419
10/08/2018 00:00:00,3650.419
10/09/2018 00:00:00,3650.419
10/10/2018 00:00:00,3650.419
10/11/2018 00:00:00,3650.419
10/12/2018 00:00:00,3650.419
10/13/2018 00:00:00,3650.419
10/14/2018 00:00:00,3650.419
